[49002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[50002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[51002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[52002 ms] Avg: 22.17 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[53002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[54002 ms] Avg: 22.17 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[55002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[56002 ms] Avg: 22.17 C | Raw: 21.75 C | MV: 2949 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[57002 ms] Avg: 22.16 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[58002 ms] Avg: 22.16 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[59002 ms] Avg: 22.16 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 0.00 C | Ctrl: 0/1440 | Env: TRANS | ADC_ERR: 0 | Q_OVR: 0
[60002 ms] Avg: 22.16 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
JITTER: n=600 | min=100 ms | max=100 ms | avg=100.00 ms | bad=0 | tolerance=+/- 2 ms
[61002 ms] Avg: 22.17 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[62002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[63002 ms] Avg: 22.16 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[64002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[65002 ms] Avg: 22.16 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[66002 ms] Avg: 22.16 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[67002 ms] Avg: 22.16 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[68002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[69002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[70002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[71002 ms] Avg: 22.16 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[72002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
